Pedigree	Year	Genotype	Plant	Locule_count_fruit_1	Locule_count_fruit_2	Locule_count_fruit_3	Locule_count_fruit_4	Locule_count_fruit_5	Locule_count_fruit_6	Locule_count_fruit_7	Locule_count_fruit_8	Locule_count_fruit_9	Locule_count_fruit_10	Locule_count_fruit_11	Locule_count_fruit_12	Locule_count_fruit_13	Locule_count_fruit_14	Locule_count_fruit_15	Locule_count_fruit_16	Locule_count_fruit_17	Locule_count_fruit_18	Locule_count_fruit_19	Locule_count_fruit_20	Average_locule_count
1158	2022	Solanum_aethiopicum_PI_420230	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1158	2022	Solanum_aethiopicum_PI_420230	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1194	2022	Solanum_aethiopicum_PI_441879	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1216	2022	Solanum_aethiopicum_PI_441899	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1216	2022	Solanum_aethiopicum_PI_441899	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1216	2022	Solanum_aethiopicum_PI_441899	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1216	2022	Solanum_aethiopicum_PI_441899	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1219	2022	Solanum_aethiopicum_PI_441900	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1231	2022	Solanum_aethiopicum_PI_666076	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1237	2022	Solanum_aethiopicum_SC102	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
