Pedigree	Genotype	Plant	Locules_fruit_1	Locules_fruit_2	Locules_fruit_3	Locules_fruit_4	Locules_fruit_5	Locules_fruit_6	Locules_fruit_7	Locules_fruit_8	Locules_fruit_9	Locules_fruit_10	Average_locule_number
1900	Spri_WT	1	2	2	3	3	2	2	3	2	2	3	2.4
1900	Spri_WT	2	2	2	3	3	3	3	3	2	2	2	2.5
1900	Spri_WT	3	3	2	2	2	2	3	2	2	2	2	2.2
1900	Spri_WT	4	2	3	2	2	3	2	2	3	2	2	2.3
1900	Spri_WT	5	2	3	3	2	2	2	3	2	2	2	2.3
1900	Spri_WT	6	2	2	2	2	2	2	2	3	3	3	2.3
1900	Spri_WT	7	3	3	2	2	2	3	2	3	2	2	2.4
1900	Spri_WT	8	3	3	3	3	2	2	2	2	2	2	2.4
1900	Spri_WT	9	2	2	2	2	2	3	2	3	2	NA	2.2
1900	Spri_WT	10	2	2	2	2	2	2	2	2	2	2	2.0
1900	Spri_WT	11	2	2	2	2	2	2	2	2	2	2	2.0
1900	Spri_WT	12	2	2	3	2	2	3	2	2	2	2	2.2
1900	Spri_WT	13	2	2	2	2	2	2	3	2	2	2	2.1
1900	Spri_WT	14	3	2	2	2	2	2	2	2	2	2	2.1
1900	Spri_WT	15	2	2	2	2	2	2	3	2	2	2	2.1
1900	Spri_WT	16	2	2	2	2	2	2	2	2	2	2	2.0
2484	Slyc_M82_WT	1	3	3	3	3	3	3	3	3	2	4	3.0
2484	Slyc_M82_WT	2	3	4	3	3	2	2	3	3	3	2	2.8
2484	Slyc_M82_WT	3	2	3	3	3	3	3	3	3	3	3	2.9
2484	Slyc_M82_WT	4	2	2	3	3	2	2	2	2	3	2	2.3
2484	Slyc_M82_WT	5	3	3	3	3	3	3	3	3	3	3	3.0
2484	Slyc_M82_WT	6	3	3	3	2	3	3	3	3	3	3	2.9
2484	Slyc_M82_WT	7	3	3	3	3	3	3	3	4	3	3	3.1
2484	Slyc_M82_WT	8	4	3	3	3	2	2	3	2	2	4	2.8
2484	Slyc_M82_WT	9	3	2	3	3	3	3	2	3	3	4	2.9
2484	Slyc_M82_WT	10	3	3	3	3	3	3	3	3	3	3	3.0
2484	Slyc_M82_WT	11	3	3	3	3	3	3	3	3	3	3	3.0
2484	Slyc_M82_WT	12	3	3	3	3	2	3	4	3	2	2	2.8
2484	Slyc_M82_WT	13	3	3	3	3	3	3	3	3	2	4	3.0
2484	Slyc_M82_WT	14	3	3	3	2	3	3	3	3	3	3	2.9
2484	Slyc_M82_WT	15	3	3	3	3	3	3	3	3	4	3	3.1
2484	Slyc_M82_WT	16	3	3	3	2	3	2	3	3	2	3	2.7
2545	Slyc_M82_scpl25l	1	4	5	7	5	5	6	4	4	5	4	4.9
2545	Slyc_M82_scpl25l	2	4	5	4	4	3	4	4	5	4	4	4.1
2545	NA	3	2	3	3	3	5	3	2	2	3	3	2.9
2545	NA	4	3	2	3	2	3	3	3	3	3	3	2.8
2545	Slyc_M82_scpl25l	5	4	4	6	4	5	5	7	5	5	4	4.9
2545	NA	6	3	4	3	3	3	3	3	3	2	3	3.0
2545	NA	7	3	3	2	3	3	2	2	3	3	3	2.7
2545	Slyc_M82_scpl25l	8	6	6	5	3	4	5	3	4	6	5	4.7
2545	Slyc_M82_scpl25l	9	4	6	8	5	6	4	4	4	4	5	5.0
2545	NA	10	3	3	3	3	3	3	3	2	3	3	2.9
2545	NA	11	3	3	3	3	3	3	3	3	3	3	3.0
2545	NA	12	2	3	4	3	3	3	4	2	3	2	2.9
2545	NA	13	3	3	2	3	3	3	3	3	3	3	2.9
2545	NA	14	3	3	3	5	5	3	3	4	3	4	3.6
2545	NA	15	3	3	3	3	3	3	5	3	3	3	3.2
2545	NA	16	4	3	4	3	3	3	3	3	3	3	3.2
2546	Slyc_M82_scpl25l	1	5	4	6	4	4	4	4	5	3	3	4.2
2546	Slyc_M82_scpl25l	2	3	4	3	4	3	3	4	3	4	7	3.8
2546	Slyc_M82_scpl25l	3	4	3	4	4	5	2	4	3	5	5	3.9
2546	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2546	Slyc_M82_scpl25l	5	4	4	5	6	3	4	3	4	4	5	4.2
2546	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2546	Slyc_M82_scpl25l	7	3	4	4	4	4	4	3	3	4	5	3.8
2546	Slyc_M82_scpl25l	8	4	4	4	4	5	5	5	5	3	4	4.3
2549	Spr_scpl25l	1	3	4	2	NA	NA	NA	NA	NA	NA	NA	3.0
2549	Spr_scpl25l	2	2	4	4	3	3	3	3	3	3	4	3.2
2549	Spr_scpl25l	3	3	3	3	3	3	3	3	3	3	3	3.0
2549	Spr_scpl25l	4	3	3	3	4	4	3	3	3	3	3	3.2
2549	Spr_scpl25l	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	11	4	3	3	3	3	3	4	3	3	4	3.3
2549	Spr_scpl25l	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	13	4	4	3	4	4	3	3	3	3	3	3.4
2549	Spr_scpl25l	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	15	3	3	4	3	3	3	2	3	3	3	3.0
2549	Spr_scpl25l	16	4	4	3	3	3	3	3	4	4	3	3.4
2549	Spr_scpl25l	17	4	3	4	3	4	2	2	2	3	3	3.0
2549	Spr_scpl25l	18	3	3	3	4	2	4	3	3	3	3	3.1
2549	Spr_scpl25l	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	20	3	5	3	3	4	3	4	4	4	4	3.7
2549	Spr_scpl25l	21	3	3	4	3	3	3	2	3	3	4	3.1
2549	Spr_scpl25l	22	4	3	4	4	4	2	3	3	3	3	3.3
2549	Spr_scpl25l	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	25	3	4	3	4	4	3	3	3	4	3	3.4
2549	Spr_scpl25l	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	27	3	3	4	3	3	3	4	4	3	3	3.3
2549	Spr_scpl25l	28	3	3	3	3	4	4	3	4	3	3	3.3
2549	Spr_scpl25l	29	3	4	4	3	3	3	4	4	4	3	3.5
2549	Spr_scpl25l	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2549	Spr_scpl25l	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
